ID,Bearbeiter 1,Bearbeiter 2,Title,Authors,DOI,Jahr,Track,Keywords,Research question,Goal of the paper,Motivation of the Paper,Outcome of the Paper,Type of inquiry 1,Type of inquiry 2,Type of Theory,Emphasis,Formal concepts,Algorithms,Hypothesis,Independent Variables,Dependent Variables,Type of Artefact 1,Research Method 1,Research Method 2,Research Method 3,Research Method 4,Type of data,Total participants count,Students Count,Practitioners Count,Data accessibility,Data Metadata,Material accessibility,Evaluation Method 1,Evaluation Method 2,Evaluation Method 3,Evaluation Method 4,Threats to Validity 1,Threats to Validity 2,Threats to Validity 3,Threats to Validity 4,Existence,Availability,Type of Artefact 2,Research Method 1.1,Research Method 2.1,Research Method 3.1,Research Method 4.1,Type of data.1,Total participants count.1,Students Count.1,Practitioners Count.1,Data format,Data accessibility.1,Data Metadata.1,Material accessibility.1,Data License.1,Evaluation Method 1.1,Evaluation Method 2.1,Evaluation Method 3.1,Evaluation Method 4.1,Threats to Validity 1.1,Threats to Validity 2.1,Threats to Validity 3.1,Threats to Validity 4.1,Existence.1,Availability.1,Comments
25.0,MW,MS/MH,"Deviation from Standards and Performance
in Knowledge-Intensive Processes: Evidence
from the Process of Selling Customized IT
Solutions","Mikhail Monashev, Michal Krčál, Jan Mendling ",https://doi.org/10.1007/978-3-031-41620-0_25,2023.0,Management,"Knowledge, Intensive Processes, Standardization, Communication",not existing,"The aim of this paper is to expand the current body of literature on standardization in KiPs by looking at: (i) how declarative standards are followed in practice, (ii) what makes process actors deviate from pre-defined rules, and (iii) what are the consequences of these deviations for process performance.","Standardization has been shown to be a reliable method of reducing unpredictability and consequently improving the performance of routine processes. However, it is surprising that the literature on knowledge-intensive processes (KiPs) rarely discusses this option or portrays such processes as inherently unsuitable for standardization.","Relating these three valid propositions to the literature illustrated their relevance for KiPs and allowed us to make certain theoretical contributions. In addition, we put forward a number of recommendations for practitioners on howto avoid deviations from standards.",Inductive study,Meta-analysis,Social science theory,Theory,No,No,"Yes, propositions","high/low unpredictability, low communication quality, low robustness of standards","process performance (time, cost, quality), externally/internally driven deviation",Report,Case Study,Interviews,,,Real-world data,11,0.0,11,No,,No,Interview,,,,External Validity,Internal Validity,Construct Validity,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
26.0,MW,MH,"Benevolent Business Processes - Design
Guidelines Beyond Transactional Value","Michael Rosemann, Nadine Ostern",https://doi.org/10.1007/978-3-031-41620-0_26,2023.0,Management,"Trust, benevolence, design guidelines, transactional value",What are design guidelines that can inform benevolent business processes?,"Thus, with a specific focus on an organisation’s business processes, we aim to accelerate and guide the design of benevolent processes.","However, changing consumer demand patterns, ESG requirements and concepts such as conscious capital have increased the pressure to create more than ‘transactional value’ from business processes.",These design guidelines conceptualise an entirely new set of process aims and have the potential to initiate BPM research and professional practice exceeding common transactional value propositions.,Inductive study,Meta-analysis,Social science theory,Theory,No,No,No,,,Design concept,Literature Analysis,Case Study,Illustrative Example,,Real-world data,,,,No,,No,Case Study,Motivating Example,,,Confirmability,External Validity,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
27.0,MH,MS,"PEM4PPM: A Cognitive Perspective
on the Process of Process Mining","Elizaveta Sorokina, Pnina Soffer, Irit Hadar, Uri Leron, Francesca Zerbato, Barbara Weber",https://doi.org/10.1007/978-3-031-41620-0_27,2023.0,Management,"Process Mining, Predictive Processing, Prediction Error Minimization, Analysis Strategies, Mixed Methods ","How can PPM data be analyzed in a theory-guided manner (specifically, based on the PEM theory)?
What insights can be gained from this analysis?",This paper attempts to fill this gap by understanding how PPM data can be analyzed in a theory-guided manner and what insights can be gained from this analysis. ,"Still, the process of process mining (PPM) is yet to be well understood and a theoretical foundation for explaining how these processes unfold is missing.","The results include (1) a theoretical adaptation of the PEM the- ory to the PPM context, (2) four strategies utilized by PM analysts, identified, and validated based on the adapted theory, and (3) an understanding of the differences in performance between analysts using different strategies and independence of the expertise level and the strategy choice.",Scientific study,,Social science theory,Both,No,No,"Yes, hypotheses","choice of strategy, level of expertise","performance in terms of accuracy and correctness, dependance",Model,Lab Experiment,Interviews,Design (Science/Engineering),,Real-world data,29,16.0,13,"Yes, in the paper",,"Yes, in the paper",Controlled Experiment,Interview,Data Science,,External Validity,Internal Validity,Confirmability,Repeatability,No,No,Report,Lab Experiment,Interviews,,,Real-world data,29,16.0,13,,"Yes, in the paper",,"Yes, in the paper",,Controlled Experiment,Interview,Data Science,,External Validity,Internal Validity,Confirmability,Repeatability,No,No,Artefakt Report: Entwicklung von 4 Strategien
28.0,MH,MS,A Reference Data Model for Process-Related User Interaction Logs,"Luka Abb, Jana-Rebecca Rehse",https://doi.org/10.1007/978-3-031-16103-2_7,2022.0,Task Mining,"User behavior mining, UI Log, Data model, Robotic process automation, Task mining",not existing,"This paper’s goal is to develop a reference data model that subsumes and integrates the commonalities of current approaches for capturing process-related UI logs, but stays flexible with regard to their differences.",This lack of standardization makes it difficult to integrate UI logs from different sources and to combine tools for UI data collection with downstream analytics or automation solutions.,"Our reference model can contribute to the field by providing a common, application-independent conceptual framework for user interactions.",Meta-analysis,Information systems engineering,Both,Artefact,No,No,No,,,Model,Literature Analysis,Design (Science/Engineering),,,Real-world data,,,,"Yes, in the paper",,No,Motivating Example,Argumentation,,,External Validity,Confirmability,,,No,No,Taxonomy,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,No,,Motivating Example,,,,None,,,,Yes,Yes,
29.0,MH,MS,"Analyzing Variable Human Actions
for Robotic Process Automation","A. Martínez-Rojas, A. Jiménez-Ramírez, J. G. Enríquez, H. A. Reijers",https://doi.org/10.1007/978-3-031-16103-2_8,2022.0,Task Mining,"Robotic Process Automation, Process discovery, Task
mining, Decision model discovery",not existing,"In this paper, we propose a new Task Mining framework that has been designed to support engineers who wish to apply RPA to a task that is subject to variable human actions.","Task Mining approaches can be used to discover the actions that humans take to carry out a particular task. A weakness of such approaches, however, is that they cannot deal well with humans who carry out the same task differently for different cases according to some hidden rule.",Our proposal advances the state-of-the-art on Task Mining for its application to RPA by providing insights into the drivers for variability in human behavior that is targeted to be automated.,Information systems engineering,,Both,Artefact,No,No,No,"process, log size, log balanced/not balanced","average time spend on feature extraction, average time spend on decision model discovery, number of columns incl. in log after feature extraction phase, number of columns incl. in the dataset after flattening phase, average accuracy of discovered model",Framework,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,No,Prototype,None,,,,Synthetic data,,,,,"Yes, in the paper",,"Yes, in the paper",,Technical Experiment,,,,None,,,,Yes,No,
30.0,MH,MS,"The SWORD is Mightier Than
the Interview: A Framework
for Semi-automatic WORkaround
Detection","Wouter van der Waal, Iris Beerepoot, Inge van de Weerd, Hajo A. Reijers",https://doi.org/10.1007/978-3-031-16103-2_9,2022.0,Task Mining,"Workarounds, Automated detection, Event data,
Healthcare, Process mining, Business process analysis",not existing,"We propose the semi-automatedWORkaround Detection (SWORD) framework, which takes event logs as input.","Workarounds can give valuable insights into the work processes that are carried out within organizations. To date, workarounds are usually identified using qualitative methods, such as interviews. ","The value of the SWORD framework is that it can help to identify workarounds more efficiently and more thoroughly than is possible by the use of a more traditional, qualitative approach.",Information systems engineering,,Social science theory,Artefact,No,No,No,,,Framework,Literature Analysis,Case Study,,,Real-world data,2707,,,"Yes, via reference",,No,Case Study,,,,Internal Validity,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
31.0,MH,MS,"Back to the Roots – Investigating the Theoretical
Foundations of Business Process Maturity
Models","Vanessa Felch, Björn Asdecker",https://doi.org/10.1007/978-3-031-16103-2_10,2022.0,Design Methods,"Business process, Business process management, Maturity model, Theoretical foundation, Theory","Are the existing BPMMs theoretically grounded, and if so, how? Are the currently used theoretical approaches suitable?","This conceptual paper analyzes previously released
BPMMs and the related literature.","For years, doubts have been raised about the usefulness of business process maturity models (BPMMs). In addition to methodological shortcomings and limited applicability of the models, another frequently voiced critique is a weak theoretical foundation.","Thus, this conceptual paper adds to the epistemological discussion on how to evolve and improve BPMM design in particular and maturity model design in general.",Meta-analysis,Scientific study,Social science theory,Theory,No,No,No,theory,"consistency, precision, parsimony, generality, falsifiability, progress",Report,Literature Analysis,,,,,,,,"Yes, in the paper",,"Yes, in the paper",Argumentation,,,,External Validity,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
32.0,MH,MS,"Applying Process Mining in Small and Medium
Sized IT Enterprises – Challenges
and Guidelines","Mathias Eggert, Julian Dyong",https://doi.org/10.1007/978-3-031-16103-2_11,2022.0,Design Methods,not existing,What challenges exist when applying process mining at an IT SME? How can an IT SME be guided to properly address these challenges?,This paper investigates the application of process mining by means of a case study and sheds light into the particular challenges of an IT SME.,"However, analyzing challenges of IT SMEs when applying process mining was not a focus of information systems (IS) research, yet.","In this way, the paper contributes to the understanding of process mining application in SME and shows similarities and differences to larger companies.",Meta-analysis,Scientific study,Social science theory,Both,No,No,No,,,Report,Literature Analysis,Case Study,Interviews,,Real-world data,7,,7,No,,No,,,,,External Validity,Internal Validity,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,"Evaluation method: keine richtige Evaluation; eher eine Diskussion bzgl. Challenges, die aus Interviews gewonnen wurden und mit Literatur verglichen wurden."
33.0,MH,MS,A Process Mining Success Factors Model,"Azumah Mamudu, Wasana Bandara, Moe T. Wynn, Sander J. J. Leemans",https://doi.org/10.1007/978-3-031-16103-2_12,2022.0,Design Methods,"Process mining, Success factors, Process mining success, Process
mining impact, Case reports",not existing,"Using a process mining success model published in 2013 as a conceptual foundation, we derive an empirically supported, enhanced process mining critical success factors model. ","Despite extensive studies of Critical Success Factors (CSF) in related domains, CSF studies of process mining are limited. Moreover, these studies merely identify factors, and do not provide essential details such as a clear conceptual understanding of success factors and their interrelationships.",Our findings will guide organisations to invest in the right mix of critical success factors for value realisation in process mining practice.,Inductive study,,Both,Both,No,No,No,,,Model,Case Study,,,,Real-world data,,,,"Yes, in the paper",,No,Argumentation,Data Science,,,Confirmability,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
34.0,MH,MW,"No Time to Dice: Learning Execution
Contexts from Event Logs
for Resource-Oriented Process Mining","Jing Yang, Chun Ouyang, Arthur H. M. ter Hofstede,
Wil M. P. van der Aalst,",https://doi.org/10.1007/978-3-031-16103-2_13,2022.0,Process Mining,"Execution context, Resource group, Event log, Process mining, Workforce analytics",not existing,"In this paper, we use the concept of execution context to classify cases, activities, and times to enable a precise characterization of resource groups. ","Process mining enables extracting insights into human resources working in business processes and supports employee management and process improvement. Often, resources from the same organizational group exhibit similar characteristics in process execution, e.g., executing the same set of process activities or participating in the same types of cases.",We proposed an approach to automatically learn execution contexts using a dedicated decision-tree-based algorithm and tested it on real-life event log data.,Information systems engineering,,Formal theory,Artefact,Yes,Yes,No,,,Model,Design (Science/Engineering),Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,No,,Verification,Technical Experiment,,,None,,,,Yes,Yes,
35.0,MH,YZ,"A Purpose-Guided Log Generation
Framework","Andrea Burattin, Barbara Re, Lorenzo Rossi, Francesco Tiezzi",https://doi.org/10.1007/978-3-031-16103-2_14,2022.0,Process Mining,"Process mining, Event Log, Log generation, Simulation","RQ1: Is it possible to define an approach for the automated generation of event logs tailored to different mining purposes?
RQ2: Can model simulation be guided to produce event logs that fulfill a mining purpose better than the ones generated with purpose-agnostic simulations?","In this paper, we propose a framework for generating event logs tailored for different mining purposes, e.g., process discovery and conformance checking.","This involves the continuous necessity of event logs suitable for testing mining techniques with respect to different purposes. Unfortunately, event logs are hard to find and usually contain noise that can influence the results of a mining technique.","The presented work proposes a novel framework, purple, to generate event logs via guided simulation of business models. purple is meant to deal with several modeling languages and different mining purposes, as well as to ensure that the produced event log brings properties related to the selected mining purpose.",Information systems engineering,,Formal theory,Artefact,Yes,Yes,"Yes, assumption",,,Framework,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Tool implementation,Design (Science/Engineering),,,,Synthetic data,0,0.0,0,,"Yes, in the paper",,"Yes, in the paper",,Benchmark,Technical Experiment,,,Internal Validity,,,,Yes,Yes,
36.0,MH,,"Conformance Checking with Uncertainty
via SMT","Paolo Felli, Alessandro Gianola, Marco Montali, Andrey Rivkin, Sarah Winkler",https://doi.org/10.1007/978-3-031-16103-2_15,2022.0,Process Mining,not existing,not existing,We consider the problem of checking conformance of uncertain logs against data-aware reference processes.,"Logs of real-life processes often feature uncertainty pertaining the recorded timestamps, data values, and/or events.","Our work is the first to employ techniques based on satisfiability of formulae modulo suitable logical theories for solving data-aware conformance checking tasks with uncertainty, and to leverage well-established solvers to handle them.",Information systems engineering,Formal science,Formal theory,Theory,Yes,No,No,,,Framework,Formal Proof,Design (Science/Engineering),Illustrative Example,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Undefined,,,,,"Yes, in the paper",,No,,Verification,,,,None,,,,Yes,Yes,
37.0,MH,MS,"The Dark Side of Process Mining. How
Identifiable Are Users Despite Technologically
Anonymized Data? A Case Study
from the Health Sector","Friederike Maria Bade, Carolin Vollenberg, Jannis Koch, Julian Koch, Andre Coners",https://doi.org/10.1007/978-3-031-16103-2_16,2022.0,Process Mining Practice,"Process mining, Privacy measures, Healthcare sector, Hospital
information system",Can process mining provide identification of users in explicitly technically anonymized systems and assign errors directly to them?,"This research analyzes the real-world utility of these process data anonymization techniques and
evaluates their suitability for privacy protection.","While the benefits of process mining are widely recognized, the scientific community also expresses concerns about the irresponsible use of personal data within process mining and the aspects of anonymization of the data used by process mining.","We have demonstrated that the technical protection measures, which are mostly found to be sufficient in the literature, have serious weaknesses.",Inductive study,,Social science theory,Artefact,No,No,No,,,Report,Case Study,Interviews,Field Experiment,Literature Analysis,Real-world data,8,,8,No,,"Yes, in the paper",Data Science,,,,External Validity,Internal Validity,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
38.0,MS,MW,"Analyzing How Process Mining Reports
Answer Time Performance Questions","Carlos Capitán-Agudo, María Salas-Urbano, Cristina Cabanillas, Manuel Resinas",https://doi.org/10.1007/978-3-031-16103-2_17,2022.0,Process Mining Practice,"Process mining, Time performance, Qualitative analysis, Quantitative analysis, BPI Challenge, Grounded Theory",RQ1: What operations are used to answer the questions on time performance? RQ2: What types of answers to time performance questions can be identified? RQ3: How does the context affect the similarity of the answers to time performance questions? RQ4: What is the observable impact of the current state of the art on the answers to time performance questions? ,We are interested in discovering how process analysts respond to specific business questions related to time performance,"The advances in process mining have provided process analysts with a plethora of different algorithms and techniques that can be used for different purposes. Previous research has studied the relationship between these techniques and business questions, but how process analysts use them to answer specific questions is not fully understood yet.",The results of this work provide an overview of the current state-of-practice to answer time performance questions and can be useful as a comparison framework to evaluate the fitness of process mining tools for addressing them.,Inductive study,Meta-analysis,Social science theory,Artefact,No,No,No,,,Report,Literature Analysis,,,,Real-world data,,,,"Yes, in the paper",,No,Data Science,,,,Confirmability,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
39.0,MS,MH,"Process Mining of Knowledge-Intensive
Processes: An Action Design Research
Study in Manufacturing","Bernd Löhr, Katharina Brennig, Christian Bartelheimer, Daniel Beverungen, Oliver Müller  ",https://doi.org/10.1007/978-3-031-16103-2_18,2022.0,Process Mining Practice,"Process mining, Knowledge-intensive processes, Action
design research, Design principles",not existing,"In this paper, we employ Action Design Research (ADR) to design and evaluate a process mining
approach for knowledge-intensive processes.","Due to these differences, existing Process Mining methods cannot be applied out-of-the- box to analyze knowledge-intensive processes.","Our main contribution is a set of theoretically ingrained and empirically
evaluated design principles that can serve as blueprints for researchers
and practitioners to apply process mining in similar contexts. ",Information systems engineering,Inductive study,Social science theory,Artefact,No,No,"Yes, propositions",propositions/ usage of tool functions,"feasibilty, usefullness",Report,Design (Science/Engineering),Action Research,Literature Analysis,Case Study,Real-world data,27,,27,No,,No,Focus Group,Interview,,,External Validity,,,,No,No,Prototype,Design (Science/Engineering),Action Research,Case Study,,Real-world data,27,,27,,No,,No,,Focus Group,Interview,,,External Validity,,,,No,No,
40.0,MS,MH,"Process Mining Practices: Evidence
from Interviews","Francesca Zerbatom, Pnina Soffer, Barbara Weber",https://doi.org/10.1007/978-3-031-16103-2_19,2022.0,Process Mining Practice,"Process mining, Interview study, Mining and analysis
stage, Analysis strategies",What are common strategies used in the analysis stage?,"Based on the results of the interviews, we characterize common analysis strategies and examine related challenges and factors affecting their use in practice.","Still, there is limited understanding of how process mining is used in practice and, in particular, how individual analysts approach the analysis stage.",Our findings contribute to an improved understanding of process mining practices and provide a solid empirical basis for future research developing guidance and support addressing the practical needs of process analysts.,Inductive study,,Social science theory,Artefact,No,No,No,,,Report,Lab Experiment,Interviews,,,Real-world data,37,,20,"Yes, in the paper",,"Yes, in the paper",Argumentation,,,,Confirmability,External Validity,Internal Validity,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
41.0,MS,MH,"Measuring Inconsistency in Declarative
Process Specifications","Carl Corea, John Grant, Matthias Thimm",https://doi.org/10.1007/978-3-031-16103-2_20,2022.0,Analytics,"Inconsistency measurement, LTL, Declare",not existing,"Therefore, the main goal of this paper is to develop a new approach for measuring inconsistency in linear temporal logic.","As we will show, existing inconsistency measures for classical logic cannot provide a meaningful assessment of inconsistency in LTL in general, as they cannot adequately handle the temporal operators.","Here, our approach extends recent works [2,3,20] on the identification of inconsistent sets in declarative process
specifications by allowing a look “into” those sets.",Formal science,,Formal theory,Both,Yes,Yes,"Yes, propositions",,,Framework,Formal Proof,,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,External Validity,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
42.0,MS,MH,"Understanding and Decomposing
Control-Flow Loops in Business Process
Models","Thomas M. Prinz, Yongsun Choi, N. Long Ha",https://doi.org/10.1007/978-3-031-16103-2_21,2022.0,Analytics,"Process models, Loops, Decomposition, Soundness ",not existing,"(1) Study of loops and how they can be generalized. (2) Decomposition of cyclic process models into sets of
acyclic models in general process models. (2) Introduction of a semantics that executes resulting acyclic processes in the correct order to achieve the business goals of the original model (same execution semantics).","Unfortunately, unstructured and cyclic models are difficult to analyze and execute as research shows. Unstructuredness could be overcome using the existing studies, however, the analysis of cyclic models is still an open research problem.","In this paper, we have presented an algorithm that decomposes cyclic process models in the form of workflow graphs into sets of acyclic workflow graphs. ",Formal science,Information systems engineering,Formal theory,Both,Yes,Yes,No,,,Algorithm,Formal Proof,,,,Real-world data,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,No,,Verification,,,,None,,,,Yes,Yes,
43.0,MS,MH,"Reasoning on Labelled Petri Nets and Their
Dynamics in a Stochastic Setting","Sander J. J. Leemans, Fabrizio Maria Maggi, Marco Montali",https://doi.org/10.1007/978-3-031-16103-2_22,2022.0,Analytics,"Stochastic Petri nets, Stochastic process mining, Qualitative verification, Markov chains","(Outcome probability) Given a stochastic Petri net and a set of final markings, what is the likelihood of a trace of the net ending in one of the markings?
(Verification) Given a temporal property captured by a finite-state automaton (e.g., an LTLf formula or a Declare model), what is the probability that the net generates a trace satisfying the property? A special case of this problem is calculating the probability of a trace.
(Stochastic model conformance) Given a set of probabilistic temporal constraints [18] and a labelled stochastic Petri net, does the net conform to the set by comparing their stochastic behaviours?","The goal of this paper is to provide a deeper understanding of such nets, showing how reasoning can be properly conducted by leveraging solid techniques from qualitative model checking of Markov chains, paired with automata-based techniques to suitably handle silent transitions. ","Reasoning on the stochastic, finite-length behaviours induced by such nets is consequently central to solve a variety of model-driven and data-driven analysis tasks, but this is challenging due to the interplay of uncertainty and the potentially infinitely traces (including silent tran- sitions) induced by the net. ","We have provided formal methods and algorithmic techniques solving three key problems concerning reasoning on labelled Petri nets and their executions in a stochastic setting: outcome probability, verification, and stochastic model conformance.",Formal science,,Formal theory,Theory,Yes,No,No,,,Method,Formal Proof,,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,None,,,,,,,,,No,,No,,None,,,,None,,,,Yes,Yes,
44.0,MS,MH,"Incentive Alignment Through Secure
Computations","Frederik Haagensen, Søren Debois",https://doi.org/10.1007/978-3-031-16103-2_23,2022.0,Analytics,"Game theory, Multi-party computations, MPC",not existing,Analyzing & modifying the incentive structure in formal model of inter-organizational business processe for the best outcome for all participants without leaking private information,"Until recently, such formal models emphasised the sequencing of interactions between collaborators, disregarding the promises and pitfalls of engaging with others.","
We demonstrated how a combined inter-organizational business process can be analyzed using game theory, in order to determine if it is worth collaborating, or if incentives need to be better aligned.",Formal science,Information systems engineering,Both,Both,Yes,Yes,"Yes, propositions",,,Prototype,Design (Science/Engineering),,,,Synthetic data,,,,"Yes, via reference",,"Yes, in the paper",Benchmark,,,,None,None,None,None,Yes,Yes,Algorithm,Formal Proof,Illustrative Example,Design (Science/Engineering),,Mathematical formulae,,,,,"Yes, in the paper",,No,,Verification,,,,None,None,None,None,Yes,Yes,Artefact 3= Prototype: Motivating example bezieht sich eigentlich darauf
45.0,"MW, MS",MH,"Business Process Simulation
with Differentiated Resources:
Does it Make a Difference?","Orlenys López-Pintado, Marlon Dumas",https://doi.org/10.1007/978-3-031-16103-2_24,2022.0,Analytics,"Process simulation, Resource allocation, Process mining","Do assumptions affect the accuracy of a business process simulation model, and if A1–A3 so, to what extent?","The paper proposes a simulation approach and a method for discovering simulation models, wherein each resource is treated as an individual entity, with its own performance and availability calendar","These approaches assume that all resources in a pool have the same performance and share the same availability calendars. Previous studies have acknowledged these assumptions, without quantifying their impact on simulation model accuracy. ",The paper outlined an approach to discover simulation models where each resource may have its own performance profile (diﬀerentiated performance) and its own calendar (diﬀerentiated availability).,Formal science,Information systems engineering,Formal theory,Both,Yes,Yes,"Yes, assumption","ressource, performance, processing time, A1-A3","accuracy of a business process simulation model, processing time",Technique,Design (Science/Engineering),,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,Internal Validity,Construct Validity,Ecological Validity,,Yes,Yes,Prototype,Simulation,Design (Science/Engineering),,,Both,,,,,"Yes, in the paper",,No,,Technical Experiment,Benchmark,,,Internal Validity,Construct Validity,Ecological Validity,,Yes,Yes,
46.0,MW,MH,"Uncovering Object-Centric Data in Classical
Event Logs for the Automated Transformation
from XES to OCEL","Adrian Rebmann, Jana-Rebecca Rehse, Han van der Aa",https://doi.org/10.1007/978-3-031-16103-2_25,2022.0,Analytics,"Process mining, Object-centric event logs, Semantic analysis",not existing,"In this paper, we propose an approach that automatically uncovers object-related information in ﬂat event data and uses this information to transform the ﬂat data into an object-centric event log according to the OCEL format.","Object-centric event logs have recently been introduced as a means to capture event data of processes that handle multiple concurrent object types, with potentially complex interrelations. Such logs allow process mining techniques to handle multi-object processes in an appropriate manner. However, event data is often not yet available in this new format, but is rather captured in the form of classical, “ﬂat” event logs. ",We demonstrated our approach's efficacy by showing that it can rediscover an artificially flattened object-centric log and mitigate convergence and divergence issues in real-life event logs.,Information systems engineering,,Formal theory,Both,Yes,No,No,,,Method,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,External Validity,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,,,,,"Yes, in the paper",,No,,Benchmark,Motivating Example,,,External Validity,,,,Yes,Yes,
47.0,MW,MH,"Why Companies Use RPA: A Critical Reflection
of Goals","Peter A. François, Vincent Borghoff, Ralf Plattfaut, Christian Janiesch",https://doi.org/10.1007/978-3-031-16103-2_26,2022.0,Systems,"RPA, Robotic Process Automation, Goals, Meta-Synthesis","RQ1: Which goals do companies pursue with RPA?
RQ2: How can these goals be systematized?","In this article, we review scholarly literature and report on an analysis of multiple expert interviews.","However, single case studies often focus only on single goals – not on the full spectrum of goals. An overview and critical reﬂection of the range of potential goals for employing robotic process automation is still missing.","With our results, we enable an extended discussion on theoretical insights of robotic process automation goals and provide guidance for users and software vendors alike to context-sensitively shape development and implementation projects by focusing on a set of relevant goals.",Meta-analysis,,Social science theory,Theory,No,No,No,,,Taxonomy,Literature Analysis,Interviews,,,Real-world data,16,0.0,16,No,,No,Grounded Theory,,,,Internal Validity,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
48.0,MW,MH,"A Trustworthy decentralized Change
Propagation Mechanism for Declarative
Choreographies","Amina Brahem, Tiphaine Henry, Sami Bhiri, Thomas Devogele,
Nassim Laga, Nizar Messai, Yacine Sam, Walid Gaaloul, Boualem Benatallah",https://doi.org/10.1007/978-3-031-16103-2_27,2022.0,Systems,"Process choreography, Change propagation, DCR graph, SC",(RQ) How to guarantee correct change propagation in declarative blockchain-based DCR choreography process instances?,"Our goal is to enable change management within SCs that implement process choreographies without requiring redeployment, thereby circumventing these versioning issues.","However, dealing with changes in smart contract-enabled business processes remains an open issue. For any required modification to an existing smart contract (SC), a new version of the SC with a new address is deployed on the blockchain and stored in a contract registry.",Our approach allows a partner in a running blockchain-based DCR choreography instance to change its private DCR process. A change impacting other partners is propagated to their aﬀected processes using a SC. ,Information systems engineering,,Formal theory,Both,Yes,Yes,No,,,Method,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Undefined,,,,,"Yes, in the paper",,No,,Verification,Motivating Example,,,None,,,,Yes,Yes,
49.0,MW,MH,"Architecture of decentralized Process
Management Systems","Kai Grunert, Janis Joderi Shoferi, Kai Rohwer, Elitsa Pankovska, Lucas Gold",https://doi.org/10.1007/978-3-031-16103-2_28,2022.0,Systems,"decentralized Process Management System, Distributed and heterogeneous workflow enactment service, Business process management system, Process automation, Process execution environment, Process engine",not existing,"As a solution, we propose and analyze an established architectural approach: the decentralized execution of a single process across multiple collaborating process engines placed directly on the devices.","Depending on the use case, a disconnection of minutes, hours, or days between an IT system and the central controller can have critical consequences for the business operation. Although most systems can work autonomously on a process step, not being able to transmit the results will block the whole process flow.","As a result, a decentralized PMS could support several future use cases to coordinate the interactions between cloud, edge, and fog to form autonomous applications with intelligent placement of process steps. It supports the self-organized collaboration of systems within a process, which is a future research and development direction to tackle some of the upcoming megatrends.",Information systems engineering,,Formal theory,Both,No,No,No,,,Framework,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Undefined,,,,,"Yes, in the paper",,No,,Motivating Example,,,,None,,,,Yes,Yes,
